code,date,close,cje,high,low,open
000001,2022-03-04,15.33,1.52378995E9,15.63,15.28,15.62
000001,2022-03-07,14.72,1.65596006E9,15.17,14.66,15.17
000001,2022-03-08,14.31,1.46314995E9,14.86,14.25,14.62
000001,2022-03-09,13.84,2.49203994E9,14.45,13.22,14.4
000001,2022-03-10,14.57,3.26987008E9,14.75,14.09,14.18
000001,2022-03-11,14.9,2.18748006E9,14.98,14.15,14.4
000001,2022-03-14,14.49,1.63728E9,14.93,14.45,14.63
000001,2022-03-15,13.68,2.47977011E9,14.4,13.6,14.4
000001,2022-03-16,14.31,2.14163994E9,14.4,13.51,13.86
000001,2022-03-17,14.45,2.5065001E9,14.71,14.24,14.66
000001,2022-03-18,14.7,2.22215987E9,14.85,14.14,14.36
000001,2022-03-21,14.59,1.76567002E9,14.82,14.39,14.5
000001,2022-03-22,15.18,2.44317005E9,15.22,14.5,14.59
000001,2022-03-23,15.0,1.57756006E9,15.19,14.9,15.11
000001,2022-03-24,15.2,1.51887002E9,15.31,14.81,14.92
000001,2022-03-25,14.98,1.11634995E9,15.25,14.82,15.15
000001,2022-03-28,14.85,1.07832998E9,15.05,14.63,14.8
000001,2022-03-29,14.68,9.0916998E8,14.95,14.6,14.88
000001,2022-03-30,15.21,1.85961997E9,15.27,14.76,14.86
000001,2022-03-31,15.38,1.78920998E9,15.57,15.06,15.1
000001,2022-04-01,15.75,2.3196201E9,15.79,15.2,15.37
000001,2022-04-06,16.39,4.06404992E9,16.54,15.63,15.64
000001,2022-04-07,16.28,2.724E9,16.66,16.2,16.38
000001,2022-04-08,16.4,1.74106995E9,16.45,16.13,16.26
000001,2022-04-11,16.05,2.27746995E9,16.4,15.8,16.35
000001,2022-04-12,15.92,1.65481997E9,16.26,15.66,16.05
000001,2022-04-13,15.8,1.41550003E9,16.08,15.72,15.89
000001,2022-04-14,16.04,1.49334003E9,16.25,15.92,16.0
000001,2022-04-15,16.42,2.01400998E9,16.53,15.86,15.9
000001,2022-04-18,15.9,1.73424E9,16.2,15.81,16.15
000001,2022-04-19,15.81,1.29423002E9,15.97,15.62,15.9
000001,2022-04-20,15.85,1.13769997E9,16.05,15.7,15.81
000001,2022-04-21,15.81,1.12465997E9,15.98,15.7,15.77
000001,2022-04-22,16.06,1.46845005E9,16.19,15.4,15.64
000001,2022-04-25,14.85,2.52761011E9,15.91,14.78,15.67
000001,2022-04-26,14.73,1.45693005E9,14.98,14.45,14.88
000001,2022-04-27,15.65,2.2968E9,15.65,14.96,14.98
000001,2022-04-28,15.65,1.42638003E9,15.93,15.37,15.57
000001,2022-04-29,15.32,2.50348006E9,15.74,14.97,15.69
000001,2022-05-05,15.32,1.20873997E9,15.45,15.15,15.2
000001,2022-05-06,14.96,1.25100006E9,15.2,14.91,15.02
000001,2022-05-09,14.55,1.19710003E9,14.94,14.46,14.94
000001,2022-05-10,14.59,1.42584E9,14.6,14.11,14.5
000001,2022-05-11,14.63,1.24070003E9,14.84,14.44,14.54
000001,2022-05-12,14.38,9.8706202E8,14.56,14.33,14.48
000001,2022-05-13,14.61,9.8596301E8,14.66,14.49,14.5
000001,2022-05-16,14.41,9.6565197E8,14.73,14.35,14.66
000001,2022-05-17,14.71,1.35743002E9,14.72,14.32,14.51
000001,2022-05-18,14.75,1.15049997E9,14.89,14.67,14.85
000001,2022-05-19,14.62,8.6321402E8,14.7,14.5,14.55
000001,2022-05-20,15.02,1.41516006E9,15.04,14.67,14.7
000001,2022-05-23,14.83,9.6268403E8,15.07,14.76,15.07
000001,2022-05-24,14.4,1.35869005E9,14.87,14.4,14.87
000001,2022-05-25,14.39,8.6622899E8,14.49,14.3,14.43
000001,2022-05-26,14.19,1.43568998E9,14.43,14.07,14.41
000001,2022-05-27,14.18,1.02969997E9,14.35,14.11,14.29
000001,2022-05-30,14.08,1.26557005E9,14.28,14.04,14.26
000001,2022-05-31,14.16,1.32501005E9,14.18,14.0,14.07
000001,2022-06-01,14.08,1.18742003E9,14.14,14.0,14.14
000001,2022-06-02,13.95,1.36374003E9,14.03,13.88,14.02
000001,2022-06-06,14.17,2.37081011E9,14.17,13.64,13.91
000001,2022-06-07,14.16,1.86037005E9,14.25,13.99,14.02
000001,2022-06-08,14.16,1.61352E9,14.17,14.01,14.16
000001,2022-06-09,14.35,2.33999002E9,14.46,14.1,14.14
000001,2022-06-10,14.32,1.91464E9,14.33,14.13,14.26
000001,2022-06-13,13.91,2.16334003E9,14.19,13.88,14.18
000001,2022-06-14,14.12,1.60216998E9,14.13,13.71,13.71
000001,2022-06-15,14.74,5.0102902E9,15.11,14.06,14.1
000001,2022-06-16,14.44,1.93998003E9,14.83,14.42,14.74
000001,2022-06-17,14.45,1.51392998E9,14.53,14.2,14.32
000001,2022-06-20,14.34,1.47952998E9,14.44,14.26,14.44
000001,2022-06-21,14.37,1.90535002E9,14.63,14.23,14.34
000001,2022-06-22,14.08,1.49841997E9,14.36,14.08,14.36
000001,2022-06-23,14.2,1.14089997E9,14.23,14.06,14.09
000001,2022-06-24,14.23,1.22780006E9,14.25,14.11,14.2
000001,2022-06-27,14.49,2.16638003E9,14.56,14.22,14.24
000001,2022-06-28,14.63,1.63866995E9,14.67,14.41,14.47
000001,2022-06-29,14.64,1.86505997E9,14.9,14.55,14.65
000001,2022-06-30,14.98,2.30489011E9,15.02,14.55,14.63
000001,2022-07-01,14.92,1.16402995E9,15.07,14.84,15.0
000001,2022-07-04,14.94,1.24144998E9,14.98,14.75,14.95
000001,2022-07-05,14.91,1.67472E9,15.27,14.82,14.99
000001,2022-07-06,14.53,1.52001997E9,14.93,14.46,14.83
000001,2022-07-07,14.42,1.05769997E9,14.65,14.38,14.54
000001,2022-07-08,14.54,9.2884998E8,14.65,14.37,14.5
000001,2022-07-11,14.46,8.8361402E8,14.57,14.36,14.5
000001,2022-07-12,14.42,1.07842995E9,14.73,14.38,14.41
000001,2022-07-13,13.97,3.05691008E9,14.47,13.89,14.42
000001,2022-07-14,13.37,3.53457997E9,13.71,13.29,13.7
000001,2022-07-15,13.24,2.13992E9,13.56,13.22,13.48
000001,2022-07-18,13.39,1.53633997E9,13.44,13.21,13.25
000001,2022-07-22,12.81,1.75555994E9,12.93,12.62,12.84
000001,2022-07-25,12.82,9.76072E8,12.85,12.67,12.8
000001,2022-07-26,12.91,1.31431002E9,12.91,12.71,12.75
000001,2022-07-27,12.79,1.18288998E9,12.88,12.73,12.85
000001,2022-07-28,12.88,9.64904E8,12.91,12.78,12.81
000001,2022-07-29,12.68,1.05952E9,12.9,12.65,12.88
000001,2022-08-01,12.42,1.27799002E9,12.66,12.4,12.66
000001,2022-08-02,12.26,1.6644E9,12.34,11.94,12.22
000001,2022-08-03,12.03,9.0565299E8,12.27,12.01,12.19
000001,2022-08-04,12.16,7.29352E8,12.17,12.02,12.1
000001,2022-08-05,12.31,9.3083597E8,12.33,11.98,12.13
000001,2022-08-08,12.2,6.7495098E8,12.36,12.16,12.25
000001,2022-08-09,12.12,6.7709901E8,12.22,12.08,12.21
000001,2022-08-10,12.06,8.2580602E8,12.24,12.02,12.12
000001,2022-08-11,12.35,1.71072E9,12.39,12.04,12.08
000001,2022-08-12,12.38,1.01060998E9,12.41,12.2,12.26
