,code,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close
0,HK.03032,2021-03-15 09:45:00,8.45,8.43,8.56,8.33,0.0,0.0,513400,4319383.0,-0.17761989342807066,8.445
1,HK.03032,2021-03-15 10:00:00,8.435,8.495,8.51,8.435,0.0,0.0,399400,3381685.0,0.7710557532621531,8.43
2,HK.03032,2021-03-15 10:15:00,8.49,8.55,8.59,8.49,0.0,0.0,374200,3196211.0,0.6474396703943672,8.495
3,HK.03032,2021-03-15 10:30:00,8.555,8.495,8.57,8.49,0.0,0.0,441000,3762323.0,-0.643274853801187,8.55
4,HK.03032,2021-03-15 10:45:00,8.49,8.445,8.49,8.435,0.0,0.0,112600,950407.0,-0.5885815185403053,8.495
5,HK.03032,2021-03-15 11:00:00,8.445,8.4,8.45,8.4,0.0,0.0,302400,2546841.0,-0.532859680284191,8.445
6,HK.03032,2021-03-15 11:15:00,8.4,8.415,8.455,8.4,0.0,0.0,223600,1882896.0,0.1785714285714142,8.4
7,HK.03032,2021-03-15 11:30:00,8.42,8.375,8.42,8.37,0.0,0.0,97600,818869.0,-0.4753416518122299,8.415
8,HK.03032,2021-03-15 11:45:00,8.37,8.37,8.385,8.36,0.0,0.0,347800,2913438.0,-0.05970149253732277,8.375
9,HK.03032,2021-03-15 12:00:00,8.375,8.37,8.38,8.365,0.0,0.0,124800,1045362.0,0.0,8.37
10,HK.03032,2021-03-15 13:15:00,8.375,8.315,8.385,8.305,0.0,0.0,388200,3237935.0,-0.6571087216248472,8.37
11,HK.03032,2021-03-15 13:30:00,8.31,8.285,8.315,8.285,0.0,0.0,124800,1035131.0,-0.36079374624172417,8.315
12,HK.03032,2021-03-15 13:45:00,8.28,8.255,8.28,8.24,0.0,0.0,422800,3489766.0,-0.3621001810500828,8.285
13,HK.03032,2021-03-15 14:00:00,8.25,8.205,8.26,8.205,0.0,0.0,113800,936669.0,-0.6056935190793544,8.255
14,HK.03032,2021-03-15 14:15:00,8.21,8.205,8.215,8.2,0.0,0.0,450600,3699657.0,0.0,8.205
15,HK.03032,2021-03-15 14:30:00,8.2,8.2,8.205,8.15,0.0,0.0,306800,2510568.0,-0.06093845216332457,8.205
16,HK.03032,2021-03-15 14:45:00,8.195,8.22,8.275,8.195,0.0,0.0,309200,2551500.0,0.24390243902440673,8.2
17,HK.03032,2021-03-15 15:00:00,8.225,8.22,8.25,8.22,0.0,0.0,302200,2487952.0,0.0,8.22
18,HK.03032,2021-03-15 15:15:00,8.22,8.215,8.22,8.205,0.0,0.0,308200,2531013.0,-0.06082725060828201,8.22
19,HK.03032,2021-03-15 15:30:00,8.215,8.245,8.25,8.215,0.0,0.0,286000,2356844.0,0.3651856360316416,8.215
20,HK.03032,2021-03-15 15:45:00,8.245,8.24,8.25,8.235,0.0,0.0,180400,1487415.0,-0.0606428138265495,8.245
21,HK.03032,2021-03-15 16:00:00,8.24,8.23,8.24,8.225,0.0,0.0,172400,1419491.0,-0.12135922330096828,8.24
22,HK.03032,2021-03-16 09:45:00,8.325,8.41,8.48,8.325,0.0,0.0,810200,6831917.0,2.187120291616035,8.23
23,HK.03032,2021-03-16 10:00:00,8.41,8.5,8.525,8.405,0.0,0.0,614000,5220911.0,1.0701545778834702,8.41
24,HK.03032,2021-03-16 10:15:00,8.505,8.43,8.505,8.425,0.0,0.0,450800,3819228.0,-0.8235294117647093,8.5
25,HK.03032,2021-03-16 10:30:00,8.425,8.47,8.48,8.425,0.0,0.0,304200,2568648.0,0.47449584816133955,8.43
26,HK.03032,2021-03-16 10:45:00,8.475,8.425,8.475,8.39,0.0,0.0,485000,4088356.0,-0.5312868949232578,8.47
27,HK.03032,2021-03-16 11:00:00,8.42,8.47,8.47,8.42,0.0,0.0,116000,979581.0,0.5341246290801178,8.425
28,HK.03032,2021-03-16 11:15:00,8.475,8.46,8.495,8.46,0.0,0.0,604600,5127986.0,-0.11806375442738827,8.47
29,HK.03032,2021-03-16 11:30:00,8.46,8.47,8.47,8.445,0.0,0.0,175800,1485352.0,0.11820330969266886,8.46
30,HK.03032,2021-03-16 11:45:00,8.47,8.475,8.48,8.46,0.0,0.0,71800,608130.0,0.05903187721368365,8.47
31,HK.03032,2021-03-16 12:00:00,8.475,8.475,8.48,8.47,0.0,0.0,11600,98295.0,0.0,8.475
32,HK.03032,2021-03-16 13:15:00,8.47,8.45,8.49,8.45,0.0,0.0,330200,2796299.0,-0.29498525073746734,8.475
33,HK.03032,2021-03-16 13:30:00,8.455,8.465,8.475,8.45,0.0,0.0,241600,2044925.0,0.17751479289941502,8.45
34,HK.03032,2021-03-16 13:45:00,8.47,8.49,8.495,8.47,0.0,0.0,118200,1003015.0,0.29533372711164035,8.465
35,HK.03032,2021-03-16 14:00:00,8.49,8.46,8.495,8.45,0.0,0.0,189400,1602576.0,-0.3533568904593564,8.49
36,HK.03032,2021-03-16 14:15:00,8.46,8.43,8.465,8.43,0.0,0.0,185600,1570063.0,-0.3546099290780276,8.46
37,HK.03032,2021-03-16 14:30:00,8.435,8.435,8.445,8.425,0.0,0.0,341800,2884098.0,0.05931198102017535,8.43
38,HK.03032,2021-03-16 14:45:00,8.43,8.47,8.47,8.43,0.0,0.0,249600,2110037.0,0.4149377593361012,8.435
39,HK.03032,2021-03-16 15:00:00,8.475,8.48,8.49,8.47,0.0,0.0,189600,1607365.0,0.11806375442738827,8.47
40,HK.03032,2021-03-16 15:15:00,8.48,8.48,8.49,8.47,0.0,0.0,19000,161119.0,0.0,8.48
41,HK.03032,2021-03-16 15:30:00,8.485,8.485,8.49,8.475,0.0,0.0,117600,997596.0,0.05896226415093166,8.48
42,HK.03032,2021-03-16 15:45:00,8.485,8.48,8.485,8.48,0.0,0.0,81600,692014.0,-0.058927519151432003,8.485
43,HK.03032,2021-03-16 16:00:00,8.49,8.49,8.495,8.48,0.0,0.0,237000,2011847.0,0.11792452830188427,8.48
44,HK.03032,2021-03-17 09:45:00,8.495,8.46,8.495,8.385,0.0,0.0,1654200,13956928.0,-0.3533568904593564,8.49
45,HK.03032,2021-03-17 10:00:00,8.45,8.555,8.555,8.45,0.0,0.0,562800,4797111.0,1.1229314420803649,8.46
46,HK.03032,2021-03-17 10:15:00,8.56,8.56,8.58,8.495,0.0,0.0,381000,3256004.0,0.05844535359439838,8.555
47,HK.03032,2021-03-17 10:30:00,8.565,8.57,8.6,8.56,0.0,0.0,302000,2593429.0,0.11682242990653956,8.56
48,HK.03032,2021-03-17 10:45:00,8.575,8.55,8.59,8.55,0.0,0.0,111200,952908.0,-0.23337222870477917,8.57
49,HK.03032,2021-03-17 11:00:00,8.545,8.53,8.545,8.505,0.0,0.0,35200,300442.0,-0.23391812865498654,8.55
50,HK.03032,2021-03-17 11:15:00,8.525,8.5,8.525,8.5,0.0,0.0,259800,2211385.0,-0.3516998827666983,8.53
51,HK.03032,2021-03-17 11:30:00,8.495,8.51,8.51,8.485,0.0,0.0,75600,642422.0,0.11764705882352691,8.5
52,HK.03032,2021-03-17 11:45:00,8.515,8.485,8.515,8.47,0.0,0.0,29200,247795.0,-0.29377203290247184,8.51
53,HK.03032,2021-03-17 12:00:00,8.49,8.515,8.515,8.485,0.0,0.0,56200,478102.0,0.35356511490867576,8.485
54,HK.03032,2021-03-17 13:15:00,8.515,8.44,8.515,8.44,0.0,0.0,218400,1851200.0,-0.8807985907222673,8.515
55,HK.03032,2021-03-17 13:30:00,8.435,8.46,8.475,8.435,0.0,0.0,55400,468468.0,0.23696682464456578,8.44
56,HK.03032,2021-03-17 13:45:00,8.465,8.52,8.52,8.465,0.0,0.0,25000,212320.0,0.7092198581560132,8.46
57,HK.03032,2021-03-17 14:00:00,8.515,8.505,8.52,8.5,0.0,0.0,118400,1007439.0,-0.17605633802815485,8.52
58,HK.03032,2021-03-17 14:15:00,8.5,8.5,8.51,8.47,0.0,0.0,91600,777590.0,-0.05878894767784575,8.505
59,HK.03032,2021-03-17 14:30:00,8.5,8.525,8.525,8.5,0.0,0.0,56600,482155.0,0.2941176470588277,8.5
60,HK.03032,2021-03-17 14:45:00,8.53,8.515,8.53,8.51,0.0,0.0,55400,471562.0,-0.11730205278592123,8.525
61,HK.03032,2021-03-17 15:00:00,8.51,8.52,8.52,8.51,0.0,0.0,19000,161812.0,0.058719906048138634,8.515
62,HK.03032,2021-03-17 15:15:00,8.515,8.525,8.53,8.515,0.0,0.0,41200,351194.0,0.058685446009398845,8.52
63,HK.03032,2021-03-17 15:30:00,8.525,8.51,8.525,8.51,0.0,0.0,5000,42596.0,-0.17595307917889227,8.525
64,HK.03032,2021-03-17 15:45:00,8.51,8.51,8.51,8.505,0.0,0.0,142200,1209821.0,0.0,8.51
65,HK.03032,2021-03-17 16:00:00,8.505,8.52,8.53,8.505,0.0,0.0,328000,2793262.0,0.11750881316098458,8.51
66,HK.03032,2021-03-18 09:45:00,8.565,8.675,8.7,8.565,0.0,0.0,949400,8224353.0,1.8192488262910933,8.52
67,HK.03032,2021-03-18 10:00:00,8.68,8.725,8.745,8.665,0.0,0.0,312800,2723041.0,0.5763688760806793,8.675
68,HK.03032,2021-03-18 10:15:00,8.73,8.68,8.74,8.675,0.0,0.0,230800,2009620.0,-0.5157593123209161,8.725
69,HK.03032,2021-03-18 10:30:00,8.685,8.675,8.685,8.66,0.0,0.0,175600,1522750.0,-0.05760368663593324,8.68
70,HK.03032,2021-03-18 10:45:00,8.68,8.72,8.725,8.675,0.0,0.0,120000,1045861.0,0.5187319884726216,8.675
71,HK.03032,2021-03-18 11:00:00,8.725,8.77,8.77,8.72,0.0,0.0,254400,2222218.0,0.5733944954128317,8.72
72,HK.03032,2021-03-18 11:15:00,8.775,8.755,8.78,8.74,0.0,0.0,174800,1529923.0,-0.17103762827820745,8.77
73,HK.03032,2021-03-18 11:30:00,8.76,8.7,8.765,8.7,0.0,0.0,79200,691345.0,-0.6282124500285721,8.755
74,HK.03032,2021-03-18 11:45:00,8.705,8.72,8.725,8.705,0.0,0.0,229400,2000397.0,0.22988505747127988,8.7
75,HK.03032,2021-03-18 12:00:00,8.72,8.72,8.725,8.72,0.0,0.0,25000,218025.0,0.0,8.72
76,HK.03032,2021-03-18 13:15:00,8.725,8.705,8.74,8.7,0.0,0.0,97400,849465.0,-0.17201834862385973,8.72
77,HK.03032,2021-03-18 13:30:00,8.71,8.72,8.73,8.71,0.0,0.0,69600,607014.0,0.17231476163125295,8.705
78,HK.03032,2021-03-18 13:45:00,8.72,8.72,8.735,8.715,0.0,0.0,40200,350540.0,0.0,8.72
79,HK.03032,2021-03-18 14:00:00,8.715,8.71,8.715,8.705,0.0,0.0,176000,1532926.0,-0.11467889908256636,8.72
80,HK.03032,2021-03-18 14:15:00,8.71,8.705,8.71,8.695,0.0,0.0,181600,1580216.0,-0.05740528128588727,8.71
81,HK.03032,2021-03-18 14:30:00,8.705,8.72,8.72,8.7,0.0,0.0,67200,585492.0,0.17231476163125295,8.705
82,HK.03032,2021-03-18 14:45:00,8.725,8.745,8.75,8.72,0.0,0.0,233400,2041244.0,0.2866972477064057,8.72
83,HK.03032,2021-03-18 15:00:00,8.75,8.755,8.765,8.75,0.0,0.0,74200,649538.0,0.11435105774730205,8.745
84,HK.03032,2021-03-18 15:15:00,8.75,8.74,8.75,8.74,0.0,0.0,138600,1212237.0,-0.1713306681896124,8.755
85,HK.03032,2021-03-18 15:30:00,8.74,8.675,8.74,8.67,0.0,0.0,190000,1654384.0,-0.7437070938215046,8.74
86,HK.03032,2021-03-18 15:45:00,8.675,8.635,8.675,8.635,0.0,0.0,704600,6094107.0,-0.4610951008645639,8.675
87,HK.03032,2021-03-18 16:00:00,8.63,8.61,8.63,8.6,0.0,0.0,676200,5830648.0,-0.2895193977996567,8.635
88,HK.03032,2021-03-19 09:45:00,8.475,8.53,8.53,8.4,0.0,0.0,808600,6851317.0,-0.9291521486643447,8.61
89,HK.03032,2021-03-19 10:00:00,8.525,8.52,8.56,8.5,0.0,0.0,217200,1852607.0,-0.1172332942555661,8.53
90,HK.03032,2021-03-19 10:15:00,8.52,8.47,8.52,8.44,0.0,0.0,283800,2403845.0,-0.5868544600938842,8.52
91,HK.03032,2021-03-19 10:30:00,8.465,8.49,8.495,8.425,0.0,0.0,85400,721096.0,0.23612750885477654,8.47
92,HK.03032,2021-03-19 10:45:00,8.49,8.455,8.5,8.455,0.0,0.0,89000,754636.0,-0.41224970553592627,8.49
93,HK.03032,2021-03-19 11:00:00,8.45,8.47,8.5,8.45,0.0,0.0,83400,706017.0,0.1774098166765295,8.455
94,HK.03032,2021-03-19 11:15:00,8.47,8.48,8.5,8.455,0.0,0.0,84800,718918.0,0.11806375442738827,8.47
95,HK.03032,2021-03-19 11:30:00,8.475,8.47,8.485,8.455,0.0,0.0,5600,47438.0,-0.11792452830188427,8.48
96,HK.03032,2021-03-19 11:45:00,8.475,8.465,8.475,8.46,0.0,0.0,23400,198000.0,-0.05903187721370462,8.47
97,HK.03032,2021-03-19 12:00:00,8.47,8.45,8.47,8.45,0.0,0.0,37800,319670.0,-0.17720023626698841,8.465
98,HK.03032,2021-03-19 13:15:00,8.455,8.43,8.475,8.425,0.0,0.0,175800,1485636.0,-0.23668639053253934,8.45
99,HK.03032,2021-03-19 13:30:00,8.435,8.39,8.435,8.39,0.0,0.0,282600,2375781.0,-0.47449584816131846,8.43
100,HK.03032,2021-03-19 13:45:00,8.39,8.365,8.405,8.365,0.0,0.0,230400,1932195.0,-0.29797377830751315,8.39
101,HK.03032,2021-03-19 14:00:00,8.37,8.395,8.395,8.365,0.0,0.0,140200,1175370.0,0.35863717872085304,8.365
102,HK.03032,2021-03-19 14:15:00,8.385,8.37,8.385,8.36,0.0,0.0,253800,2125159.0,-0.29779630732579343,8.395
103,HK.03032,2021-03-19 14:30:00,8.37,8.395,8.395,8.36,0.0,0.0,273000,2286173.0,0.29868578255675454,8.37
104,HK.03032,2021-03-19 14:45:00,8.4,8.39,8.41,8.38,0.0,0.0,259000,2174535.0,-0.059559261465145986,8.395
105,HK.03032,2021-03-19 15:00:00,8.39,8.425,8.43,8.385,0.0,0.0,72000,605112.0,0.4171632896305142,8.39
106,HK.03032,2021-03-19 15:15:00,8.43,8.43,8.45,8.425,0.0,0.0,197600,1667488.0,0.05934718100889027,8.425
107,HK.03032,2021-03-19 15:30:00,8.435,8.465,8.465,8.43,0.0,0.0,103200,872625.0,0.41518386714116423,8.43
108,HK.03032,2021-03-19 15:45:00,8.465,8.46,8.48,8.46,0.0,0.0,316400,2679236.0,-0.05906674542231548,8.465
109,HK.03032,2021-03-19 16:00:00,8.46,8.48,8.49,8.46,0.0,0.0,131600,1115695.0,0.23640661938533772,8.46
110,HK.03032,2021-03-22 09:45:00,8.495,8.565,8.565,8.47,0.0,0.0,199000,1699826.0,1.0023584905660268,8.48
111,HK.03032,2021-03-22 10:00:00,8.565,8.56,8.61,8.53,0.0,0.0,349800,3001516.0,-0.05837711617044957,8.565
112,HK.03032,2021-03-22 10:15:00,8.56,8.525,8.565,8.49,0.0,0.0,183800,1567378.0,-0.4088785046728988,8.56
113,HK.03032,2021-03-22 10:30:00,8.525,8.485,8.545,8.485,0.0,0.0,70000,596133.0,-0.46920821114370587,8.525
114,HK.03032,2021-03-22 10:45:00,8.49,8.43,8.505,8.425,0.0,0.0,50200,425794.0,-0.6482027106658776,8.485
115,HK.03032,2021-03-22 11:00:00,8.43,8.45,8.455,8.415,0.0,0.0,65000,548329.0,0.23724792408065923,8.43
116,HK.03032,2021-03-22 11:15:00,8.45,8.47,8.47,8.43,0.0,0.0,413800,3491558.0,0.23668639053256038,8.45
117,HK.03032,2021-03-22 11:30:00,8.47,8.49,8.495,8.47,0.0,0.0,31400,266583.0,0.23612750885477654,8.47
118,HK.03032,2021-03-22 11:45:00,8.49,8.475,8.49,8.465,0.0,0.0,6200,52617.0,-0.17667844522968867,8.49
119,HK.03032,2021-03-22 12:00:00,8.475,8.475,8.485,8.47,0.0,0.0,112200,951675.0,0.0,8.475
120,HK.03032,2021-03-22 13:15:00,8.475,8.48,8.49,8.465,0.0,0.0,86600,733444.0,0.05899705014750185,8.475
121,HK.03032,2021-03-22 13:30:00,8.48,8.48,8.485,8.465,0.0,0.0,10200,86496.0,0.0,8.48
122,HK.03032,2021-03-22 13:45:00,8.475,8.495,8.495,8.47,0.0,0.0,7600,64544.0,0.1768867924528159,8.48
123,HK.03032,2021-03-22 14:00:00,8.5,8.505,8.515,8.5,0.0,0.0,12400,105586.0,0.11771630370808198,8.495
124,HK.03032,2021-03-22 14:15:00,8.505,8.485,8.515,8.48,0.0,0.0,219400,1862411.0,-0.2351557907113621,8.505
125,HK.03032,2021-03-22 14:30:00,8.495,8.5,8.5,8.495,0.0,0.0,4400,37384.0,0.17678255745433788,8.485
126,HK.03032,2021-03-22 14:45:00,8.5,8.5,8.505,8.485,0.0,0.0,35000,297385.0,0.0,8.5
127,HK.03032,2021-03-22 15:00:00,8.495,8.495,8.5,8.495,0.0,0.0,35600,302584.0,-0.058823529411773906,8.5
128,HK.03032,2021-03-22 15:15:00,8.49,8.47,8.49,8.47,0.0,0.0,59400,503457.0,-0.2942907592701422,8.495
129,HK.03032,2021-03-22 15:30:00,8.475,8.475,8.48,8.47,0.0,0.0,5800,49136.0,0.05903187721368365,8.47
130,HK.03032,2021-03-22 15:45:00,8.48,8.475,8.49,8.475,0.0,0.0,30200,256096.0,0.0,8.475
