,code,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close
0,HK.07226,2021-01-04 00:00:00,40.85,42.95,43.675,40.0,0.0,0.41957,1493640,62278171.0,5.140758873929012,40.85
1,HK.07226,2021-01-11 00:00:00,43.225,44.45,45.55,42.75,0.0,0.60424,1960440,86612627.0,3.4924330616996504,42.95
2,HK.07226,2021-01-18 00:00:00,44.375,54.8,57.3,44.325,0.0,2.04569,6653160,359740164.0,23.284589426321695,44.45
3,HK.07226,2021-01-25 00:00:00,54.85,50.0,60.4,49.05,0.0,1.7953,7178341,392396388.0,-8.759124087591236,54.8
4,HK.07226,2021-02-01 00:00:00,50.5,54.2,58.55,50.15,0.0,1.08999,6245240,346031628.0,8.400000000000006,50.0
5,HK.07226,2021-02-08 00:00:00,54.75,60.7,60.7,53.6,0.0,0.46427,3399981,193131934.0,11.992619926199263,54.2
6,HK.07226,2021-02-15 00:00:00,62.6,62.75,68.1,59.05,0.0,0.90683,7081220,448251615.0,3.3772652388797315,60.7
7,HK.07226,2021-02-22 00:00:00,64.4,44.75,64.4,44.725,0.0,1.89899,19210940,986440317.0,-28.68525896414343,62.75
8,HK.07226,2021-03-01 00:00:00,47.0,41.15,51.5,39.025,0.0,1.04665,15317720,690905122.0,-8.04469273743017,44.75
9,HK.07226,2021-03-08 00:00:00,42.825,39.05,43.925,32.75,0.0,1.57239,29422680,1140112992.0,-5.103280680437427,41.15
10,HK.07226,2021-03-15 00:00:00,39.725,39.725,42.475,36.6,0.0,0.75507,17254980,684079510.0,1.7285531370038525,39.05
11,HK.07226,2021-03-22 00:00:00,39.55,36.075,40.85,32.025,0.0,0.77323,19899680,719738839.0,-9.188168659534295,39.725
12,HK.07226,2021-03-29 00:00:00,36.075,39.8,39.825,34.25,0.0,0.40954,11684660,433132206.0,10.32571032571031,36.075
13,HK.07226,2021-04-05 00:00:00,40.6,37.5,40.95,37.075,0.0,0.25016,7124520,275143918.0,-5.778894472361802,39.8
14,HK.07226,2021-04-12 00:00:00,37.65,36.875,38.2,35.05,0.0,0.50503,14533300,526502768.0,-1.6666666666666667,37.5
15,HK.07226,2021-04-19 00:00:00,36.275,38.75,39.025,35.65,0.0,0.39683,11932060,446483286.0,5.084745762711865,36.875
16,HK.07226,2021-04-26 00:00:00,39.0,37.35,40.05,37.275,0.0,0.31647,9653740,375650162.0,-3.612903225806448,38.75
17,HK.07226,2021-05-03 00:00:00,37.525,34.15,37.525,34.125,0.0,0.42472,13388500,479374737.0,-8.567603748326647,37.35
18,HK.07226,2021-05-10 00:00:00,34.65,30.9,35.1,29.925,0.0,0.69321,25016120,795099745.0,-9.51683748169839,34.15
19,HK.07226,2021-05-17 00:00:00,31.5,34.425,34.8,31.25,0.0,0.26449,10857180,359505974.0,11.40776699029126,30.9
20,HK.07226,2021-05-24 00:00:00,34.05,33.9,35.675,32.7,0.0,0.32388,13442660,461317541.0,-1.5250544662309329,34.425
21,HK.07226,2021-05-31 00:00:00,34.55,35.15,37.3,34.2,0.0,0.33433,13635220,491129911.0,3.687315634218289,33.9
22,HK.07226,2021-06-07 00:00:00,35.45,34.25,35.5,33.825,0.0,0.22477,8901680,306524307.0,-2.5604551920341354,35.15
23,HK.07226,2021-06-14 00:00:00,34.9,34.575,34.95,32.35,0.0,0.19351,7831480,264540128.0,0.9489051094890594,34.25
24,HK.07226,2021-06-21 00:00:00,34.1,36.225,36.25,32.725,0.0,0.24041,10120920,347409662.0,4.772234273318868,34.575
25,HK.07226,2021-06-28 00:00:00,36.475,33.25,37.0,33.0,0.0,0.22631,9323540,323444088.0,-8.212560386473433,36.225
26,HK.07226,2021-07-05 00:00:00,33.4,29.375,33.4,27.3,0.0,0.81666,36337100,1082224292.0,-11.654135338345863,33.25
27,HK.07226,2021-07-12 00:00:00,30.35,30.95,31.6,29.275,0.0,0.34204,18939677,580927764.0,5.361702127659572,29.375
28,HK.07226,2021-07-19 00:00:00,30.25,27.975,30.25,27.8,0.0,0.36894,21444160,619192716.0,-9.612277867528265,30.95
29,HK.07226,2021-07-26 00:00:00,27.125,23.74,27.125,19.52,0.0,1.94735,136344843,3145579240.0,-15.138516532618418,27.975
30,HK.07226,2021-08-02 00:00:00,23.63,23.29,24.95,22.26,0.0,0.4403,41006480,968109698.0,-1.8955349620892978,23.74
31,HK.07226,2021-08-09 00:00:00,22.8,22.38,24.51,22.14,0.0,0.35073,29835120,697509359.0,-3.9072563331902113,23.29
32,HK.07226,2021-08-16 00:00:00,22.37,17.83,22.37,17.21,0.0,0.51756,44393400,853328992.0,-20.330652368185884,22.38
33,HK.07226,2021-08-23 00:00:00,18.78,20.3,22.65,18.45,0.0,0.54586,50572780,1033196005.0,13.853056646102091,17.83
34,HK.07226,2021-08-30 00:00:00,20.35,23.09,24.36,20.13,0.0,0.67304,60113100,1347192739.0,13.743842364532016,20.3
35,HK.07226,2021-09-06 00:00:00,23.1,23.14,24.7,21.84,0.0,0.42301,37715260,880063818.0,0.21654395842356308,23.09
36,HK.07226,2021-09-13 00:00:00,22.48,21.1,22.48,19.29,0.0,0.66939,59227654,1229915931.0,-8.815903197925666,23.14
37,HK.07226,2021-09-20 00:00:00,20.7,19.15,21.08,18.95,0.0,0.47838,45797460,907052475.0,-9.241706161137452,21.1
38,HK.07226,2021-09-27 00:00:00,19.12,18.68,19.91,18.31,0.0,0.40639,40851940,776681621.0,-2.454308093994772,19.15
39,HK.07226,2021-10-04 00:00:00,18.68,19.26,20.0,17.15,0.0,0.47151,49522760,906341981.0,3.1049250535332007,18.68
40,HK.07226,2021-10-11 00:00:00,19.71,19.96,20.82,19.22,0.0,0.24204,26479978,527316780.0,3.634475597092415,19.26
41,HK.07226,2021-10-18 00:00:00,20.1,22.84,23.04,19.3,0.0,0.4108,44011522,948604340.0,14.428857715430857,19.96
