,code,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close
0,HK.07552,2020-12-10 00:00:00,8.095,8.0,8.105,7.95,0.0,0.0,518900,4165568.0,-1.1735639283508417,8.095
1,HK.07552,2020-12-11 00:00:00,7.995,7.865,7.995,7.74,0.0,0.07722,1065600,8361012.0,-1.6874999999999973,8.0
2,HK.07552,2020-12-14 00:00:00,7.89,7.79,7.935,7.775,0.0,0.07156,1016100,7963779.0,-0.953591862682774,7.865
3,HK.07552,2020-12-15 00:00:00,7.825,7.9,7.965,7.825,0.0,0.02843,403722,3192655.0,1.412066752246474,7.79
4,HK.07552,2020-12-16 00:00:00,7.86,7.78,7.89,7.76,0.0,0.02523,358200,2802831.0,-1.5189873417721533,7.9
5,HK.07552,2020-12-17 00:00:00,7.7,7.44,7.7,7.39,0.0,0.05744,815600,6123437.0,-4.370179948586117,7.78
6,HK.07552,2020-12-18 00:00:00,7.395,7.535,7.56,7.395,0.0,0.02846,404100,3033518.0,1.2768817204301042,7.44
7,HK.07552,2020-12-21 00:00:00,7.535,7.625,7.625,7.475,0.0,0.0088,124900,939890.0,1.1944260119442582,7.535
8,HK.07552,2020-12-22 00:00:00,7.625,7.735,7.815,7.55,0.0,0.03682,522800,4036334.0,1.4426229508196764,7.625
9,HK.07552,2020-12-23 00:00:00,7.735,7.23,7.735,7.12,0.0,0.15239,2163900,15651163.0,-6.528765352294763,7.735
10,HK.07552,2020-12-24 00:00:00,7.37,7.625,7.67,7.325,0.0,0.07115,1010400,7581588.0,5.463347164591972,7.23
11,HK.07552,2020-12-28 00:00:00,7.635,8.125,8.3,7.635,0.0,0.17654,2506800,20311776.0,6.557377049180328,7.625
12,HK.07552,2020-12-29 00:00:00,8.125,7.87,8.125,7.705,0.0,0.0253,399800,3129828.0,-3.138461538461537,8.125
13,HK.07552,2020-12-30 00:00:00,7.8,7.27,7.8,7.27,0.0,0.13923,2199800,16281412.0,-7.623888182973324,7.87
14,HK.07552,2020-12-31 00:00:00,7.21,7.08,7.21,7.0,0.0,0.09375,1481200,10516194.0,-2.6134800550206263,7.27
15,HK.07552,2021-01-04 00:00:00,7.08,6.945,7.135,6.855,0.0,0.10974,1733900,12014889.0,-1.906779661016946,7.08
16,HK.07552,2021-01-05 00:00:00,7.1,7.0,7.1,6.91,0.0,0.05186,819400,5733283.0,0.7919366450683905,6.945
17,HK.07552,2021-01-06 00:00:00,6.9,6.74,6.9,6.6,0.0,0.13208,2086900,14093893.0,-3.714285714285711,7.0
18,HK.07552,2021-01-07 00:00:00,6.995,7.045,7.18,6.905,0.0,0.12187,1925471,13605167.0,4.525222551928779,6.74
