,code,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close
0,SZ.159949,2016-07-18 00:00:00,0.992,0.987,0.997,0.98,0.0,0.0,152786635,151182358.724,-0.5040322580645166,0.992
1,SZ.159949,2016-07-25 00:00:00,0.985,0.925,0.999,0.916,0.0,0.0,247500363,240052244.42,-6.281661600810532,0.987
2,SZ.159949,2016-08-01 00:00:00,0.91,0.916,0.93,0.895,0.0,0.0,36225511,33102590.019,-0.9729729729729738,0.925
3,SZ.159949,2016-08-08 00:00:00,0.915,0.918,0.939,0.905,0.0,0.0,19274165,17787417.612,0.218340611353712,0.916
4,SZ.159949,2016-08-15 00:00:00,0.921,0.959,0.97,0.915,0.0,0.0,32565156,31087478.918,4.466230936819164,0.918
5,SZ.159949,2016-08-22 00:00:00,0.956,0.944,0.96,0.93,0.0,0.0,45610357,43332990.712,-1.5641293013555804,0.959
6,SZ.159949,2016-08-29 00:00:00,0.941,0.943,0.956,0.936,0.0,0.0,15071174,14282950.961,-0.10593220338983061,0.944
7,SZ.159949,2016-09-05 00:00:00,0.94,0.948,0.965,0.935,0.0,0.0,21570725,20587466.359,0.5302226935312836,0.943
8,SZ.159949,2016-09-12 00:00:00,0.945,0.917,0.945,0.913,0.0,0.0,10254600,9508584.255,-3.2700421940928184,0.948
9,SZ.159949,2016-09-19 00:00:00,0.917,0.918,0.934,0.917,0.0,0.0,14346740,13281630.872,0.10905125408942212,0.917
10,SZ.159949,2016-09-26 00:00:00,0.923,0.912,0.923,0.902,0.0,0.0,9346858,8510482.74,-0.6535947712418306,0.918
11,SZ.159949,2016-10-10 00:00:00,0.92,0.93,0.943,0.917,0.0,0.0,19322453,18047787.201,1.9736842105263175,0.912
12,SZ.159949,2016-10-17 00:00:00,0.927,0.926,0.934,0.919,0.0,0.0,11313520,10496232.665,-0.43010752688172077,0.93
13,SZ.159949,2016-10-24 00:00:00,0.928,0.924,0.941,0.924,0.0,0.0,21201555,19791983.94,-0.2159827213822896,0.926
14,SZ.159949,2016-10-31 00:00:00,0.925,0.915,0.928,0.909,0.0,0.0,19374991,17787410.421,-0.9740259740259749,0.924
15,SZ.159949,2016-11-07 00:00:00,0.915,0.912,0.916,0.891,0.0,0.0,27849998,25230454.187,-0.32786885245901665,0.915
16,SZ.159949,2016-11-14 00:00:00,0.911,0.914,0.94,0.91,0.0,0.0,39151573,36215395.755,0.2192982456140353,0.912
17,SZ.159949,2016-11-21 00:00:00,0.914,0.923,0.936,0.904,0.0,0.0,59594216,54832135.139,0.9846827133479221,0.914
18,SZ.159949,2016-11-28 00:00:00,0.926,0.917,0.945,0.916,0.0,0.0,73574242,68405093.085,-0.6500541711809322,0.923
19,SZ.159949,2016-12-05 00:00:00,0.912,0.886,0.923,0.884,0.0,0.0,38286612,34593930.15,-3.380588876772086,0.917
20,SZ.159949,2016-12-12 00:00:00,0.886,0.841,0.886,0.822,0.0,0.0,85816987,72067062.642,-5.079006772009033,0.886
21,SZ.159949,2016-12-19 00:00:00,0.842,0.824,0.842,0.823,0.0,0.0,10614040,8859916.673,-2.021403091557671,0.841
22,SZ.159949,2016-12-26 00:00:00,0.822,0.817,0.829,0.807,0.0,0.0,11229058,9178423.171,-0.849514563106797,0.824
