name,code,close,rate,premium,tag,mtexp,fundfirm,listdate,index,avgamount,m1,y0,y1,y3,y5,scale
半导体ETF,512480,1.081,10475,10009,行业，半导体，芯片,0.60%,国联安基金,2019-06-12,半导体指数,184867.11,12298,13119,11905,13321,10000,145.3
科创50ETF,588000,1.179,10315,9983,宽基，中小盘，科创板,0.60%,华夏基金,2020-11-16,科创50指数,285227.17,11337,11755,11720,10000,10000,508.27
医疗ETF,512170,0.512,10000,10020,行业，医药,0.60%,华宝基金,2019-06-17,中证医疗指数,71961.24,10261,10079,9588,10000,10000,174.19
中概互联网ETF,513050,1.053,10019,10478,跨境，中概股,0.85%,易方达基金,2017-01-18,中国互联网50指数,96045.16,10385,10115,10446,7586,7374,364.78
酒ETF,512690,0.843,9871,10012,行业，食品饮料，酒,0.60%,鹏华基金,2019-05-06,中证酒指数,88520.25,9325,9918,11195,20526,10000,88.68
纳指ETF,513100,0.911,10100,9945,跨境，美国,0.80%,国泰基金,2013-05-15,纳斯达克100指数,16978.83,10667,11402,9935,14717,20676,51.5
创业板ETF,159915,2.353,10090,9992,宽基，中小盘,0.60%,易方达基金,2011-12-09,创业板指,135945.39,10289,10325,9829,12698,13672,206.02
证券ETF,512880,0.941,10011,10000,行业，金融，证券,0.60%,国泰基金,2016-08-08,证券公司指数,124172.07,10456,10829,9823,10129,10573,296.84
芯片ETF,159995,1.271,10470,10000,行业，半导体，芯片,0.60%,华夏基金,2020-02-10,国证芯片指数,115757.72,12245,12710,11268,13967,10000,204.01
沪深300ETF,510300,4.082,10047,10000,宽基，大盘股,0.60%,华泰柏瑞基金,2012-05-28,沪深300指数,170169.65,10192,10528,10017,11398,11426,775.03
游戏ETF,159869,1.377,9914,10022,主题，游戏,0.60%,华夏基金,2021-03-05,动漫游戏指数,69485.65,14854,18047,16691,10000,10000,6.88
恒生医疗ETF,513060,0.592,10068,9983,跨境，香港，医药，医疗保健,0.65%,博时基金,2021-03-29,恒生医疗保健指数,195729.03,10686,9883,11960,10000,10000,69.51
芯片ETF,512760,1.23,10441,10033,行业，半导体，芯片,0.60%,国泰基金,2019-06-12,中华半导体人民币指数,87302.59,12349,13169,11930,14089,10000,130.09
光伏ETF,515790,1.314,10061,9992,主题，光伏，新兴产业,0.60%,华泰柏瑞基金,2020-12-18,光伏产业指数,78885.79,9440,9563,10453,10000,10000,137.21
