name,code,status
沪深300ETF,510300,1
上证180ETF,510180,1
上证50ETF,510050,1
深证100ETF,159901,1
创业板50ETF,159949,1
创业板ETF,159915,1
双创50ETF,159781,1
中小100ETF,159902,1
中证1000ETF,159845,1
中证500ETF,159922,1
科创50ETF,588000,1
上证指数ETF,510210,3
央企改革ETF,512950,3
央企创新ETF,515600,3
中国国企ETF,517180,4
红利低波ETF,512890,4
港股通红利ETF,513530,4
红利ETF,510880,4
标普500ETF,513500,4
纳指ETF,159941,4
标普500,513500,4
恒生ETF,159920,1
H股ETF,510900,1
传媒ETF,512980,4
通信ETF,515880,4
半导体ETF,512480,1
标普生物,161127,1
芯片ETF,159995,1
科创芯片ETF,588200,4
养殖ETF,159865,1
电力ETF,159611,4
电子ETF,159997,1
钢铁ETF,515210,1
化工ETF,159870,1
工业母机ETF,159667,1
计算机ETF,512720,3
家电ETF,159996,1
建材ETF,159745,1
金融ETF,510230,4
房地产ETF,512200,1
银行ETF,512800,4
证券ETF,512880,1
军工龙头ETF,512710,1
国防ETF,512670,1
军工ETF,512660,1
煤炭ETF,515220,1
农业ETF,159825,1
汽车ETF,516110,1
食品饮料ETF,515170,1
酒ETF,512690,1
消费50ETF,515650,1
消费ETF,159928,1
信息技术ETF,159939,3
科创信息技术ETF,588100,4
医药ETF,512010,1
医疗ETF,512170,1
中药ETF,159647,4
医疗器械ETF,159883,1
有色金属ETF,512400,1
教育ETF,513360,3
香港证券ETF,513090,4
港股通互联网ETF,159792,1
恒生互联网ETF,513330,1
港股科技50ETF,513980,1
恒生科技指数ETF,513180,1
港股创新药ETF,513120,1
恒生医疗ETF,513060,1
中概互联ETF,159605,1
中概互联网ETF,513050,1
黄金ETF,518880,4
云计算ETF,516510,4
碳中和ETF,159790,1
高端装备ETF,159638,1
光伏ETF,515790,1
基建50ETF,516970,3
旅游ETF,159766,1
数字经济ETF,560800,1
稀土ETF基金,516150,1
稀有金属ETF,562800,1
新能源ETF,516160,1
大数据ETF,515400,3
5GETF,515050,3
科技ETF,515000,1
人工智能ETF,159819,3
软件ETF,515230,3
新能源车ETF,515030,1
电池ETF,159755,1
游戏ETF,159869,4
智能汽车ETF,515250,1
绿色电力ETF,562960,4
