name,code,status
仲景食品,SZ.300908,3
青岛食品,SZ.001219,4
甘源食品,SZ.002991,3
三全食品,SZ.002216,1
千禾味业,SH.603027,1
欢乐家,SZ.300997,3
西麦食品,SZ.002946,3
佳禾食品,SH.605300,4
达仁堂,SH.600329,3
领益智造,SZ.002600,3
美年健康,SZ.002044,4
中金公司,SH.601995,1
兰生股份,SH.600826,4
珠江啤酒,SZ.000725,4
会稽山,SH.601579,3
京东方A,SZ.000725,4
海康威视,SZ.002415,1
阳光电源,SZ.300274,3
漫步者,SZ.002351,3
美的集团,SZ.000333,4
八一钢铁,SH.600581,1
中船防务,SH.600685,3
中国通号,SH.688009,4
云南白药,SZ.000538,1
同仁堂,SH.600085,3
广誉远,SH.600771,1
康恩贝,SH.600572,3
汤臣倍健,SZ.300146,1
西藏药业,SH.600211,3
中国人寿,SH.601628,3
中国平安,SH.601318,3
中国人保,SH.601319,3
平安银行,SZ.000001,1
森马服饰,SZ.002563,4
中国电研,SH.688128,3
国投资本,SH.600061,4
五矿资本,SH.600390,3
微盟集团,HK.02013,1
恒瑞医药,SH.600276,3
舍得酒业,SH.600702,1
顺鑫农业,SZ.000860,1
中体产业,SH.600158,3
全通教育,SZ.300359,1
科伦药业,SZ.002422,3
巨星农牧,SH.603477,4
玲珑轮胎,SH.601966,2
苏垦农发,SH.601952,4
春雪食品,SH.605567,1
浩欧博,SH.688656,1
贝瑞基因,SZ.000710,1
奥精医疗,SH.688613,1
甘李药业,SH.603087,2
基蛋生物,SH.603387,1
华大基因,SZ.300676,1
百合股份,SH.603102,1
