name,code,status
上证指数ETF,510210,3
央企改革ETF,512950,4
央企创新ETF,515600,4
中国国企ETF,517180,4
红利低波ETF,512890,3
港股通红利ETF,513530,4
红利ETF,510880,3
标普500ETF,513500,4
纳指ETF,159941,4
标普500,513500,4
德国ETF,513030,4
日经ETF,513520,4
恒生ETF,159920,3
H股ETF,510900,4
传媒ETF,512980,3
通信ETF,515880,4
科创芯片ETF,588200,3
电力ETF,159611,3
工业母机ETF,159667,3
计算机ETF,512720,3
家电ETF,159996,4
金融ETF,510230,3
银行ETF,512800,3
证券ETF,512880,3
汽车ETF,516110,4
信息技术ETF,159939,3
科创信息技术ETF,588100,3
中药ETF,159647,3
教育ETF,513360,4
香港证券ETF,513090,3
恒生科技指数ETF,513180,4
中概互联ETF,159605,4
黄金ETF,518880,4
云计算ETF,516510,3
基建50ETF,516970,3
大数据ETF,515400,3
5GETF,515050,4
人工智能ETF,159819,3
软件ETF,515230,3
游戏ETF,159869,3
智能汽车ETF,515250,4
仲景食品,SZ.300908,3
青岛食品,SZ.001219,4
甘源食品,SZ.002991,3
欢乐家,SZ.300997,3
西麦食品,SZ.002946,3
佳禾食品,SH.605300,4
达仁堂,SH.600329,3
领益智造,SZ.002600,3
美年健康,SZ.002044,4
兰生股份,SH.600826,4
珠江啤酒,SZ.000725,4
会稽山,SH.601579,3
京东方A,SZ.000725,4
阳光电源,SZ.300274,3
漫步者,SZ.002351,3
美的集团,SZ.000333,4
中船防务,SH.600685,3
中国通号,SH.688009,4
同仁堂,SH.600085,3
康恩贝,SH.600572,3
西藏药业,SH.600211,3
中国人寿,SH.601628,3
中国平安,SH.601318,3
中国人保,SH.601319,3
森马服饰,SZ.002563,4
中国电研,SH.688128,3
国投资本,SH.600061,4
五矿资本,SH.600390,3
恒瑞医药,SH.600276,3
中体产业,SH.600158,3
科伦药业,SZ.002422,3
巨星农牧,SH.603477,4
苏垦农发,SH.601952,4
