,code,lot_size,stock_name,stock_owner,stock_child_type,stock_type,list_time,stock_id,main_contract,last_trade_time,day
0,SZ.000892,100,欢瑞世纪,,,STOCK,1999-01-15,45548130174972,False,,2023-05-12
1,SH.601999,100,出版传媒,,,STOCK,2007-12-21,59558313095631,False,,2023-05-12
2,SH.603116,100,红蜻蜓,,,STOCK,2015-06-29,71356588258860,False,,2023-05-12
3,SH.603790,100,雅运股份,,,STOCK,2018-09-12,76295800649934,False,,2023-05-12
4,SZ.002992,100,宝明科技,,,STOCK,2020-08-03,79267918417968,False,,2023-05-12
5,SH.600088,100,中视传媒,,,STOCK,1997-06-16,43065638677080,False,,2023-05-12
6,SZ.002992,100,宝明科技,,,STOCK,2020-08-03,79267918417968,False,,2023-05-11
7,SH.600088,100,中视传媒,,,STOCK,1997-06-16,43065638677080,False,,2023-05-11
8,SH.600088,100,中视传媒,,,STOCK,1997-06-16,43065638677080,False,,2023-05-10
9,SH.600636,100,国新文化,,,STOCK,1993-03-16,36395554466940,False,,2023-05-10
10,SH.600928,100,西安银行,,,STOCK,1970-01-01,76922865872288,False,,2023-05-10
11,SH.601061,100,中信金属,,,STOCK,2023-04-10,83468396031525,False,,2023-05-10
12,SH.601598,100,中国外运,,,STOCK,1970-01-01,76935750774846,False,,2023-05-10
13,SH.603357,100,设计总院,,,STOCK,2017-08-01,74552043927325,False,,2023-05-10
14,SH.600088,100,中视传媒,,,STOCK,1997-06-16,43065638677080,False,,2023-05-09
15,SH.600636,100,国新文化,,,STOCK,1993-03-16,36395554466940,False,,2023-05-09
16,SH.600928,100,西安银行,,,STOCK,1970-01-01,76922865872288,False,,2023-05-09
17,SH.601061,100,中信金属,,,STOCK,2023-04-10,83468396031525,False,,2023-05-09
18,SH.601598,100,中国外运,,,STOCK,1970-01-01,76935750774846,False,,2023-05-09
19,SH.603357,100,设计总院,,,STOCK,2017-08-01,74552043927325,False,,2023-05-09
20,SZ.000526,100,学大教育,,,STOCK,1993-11-01,37383397344910,False,,2023-05-09
21,SZ.002401,100,中远海科,,,STOCK,2010-05-06,63282050141665,False,,2023-05-09
22,SZ.002777,100,久远银海,,,STOCK,2015-12-31,2002777,False,,2023-05-09
23,SH.600072,100,中船科技,,,STOCK,1997-06-03,43009804102216,False,,2023-05-09
24,SH.600686,100,金龙汽车,,,STOCK,1993-11-08,37413461716142,False,,2023-05-09
25,SH.600757,100,长江传媒,,,STOCK,1996-10-03,41966127049973,False,,2023-05-09
26,SH.601326,100,秦港股份,,,STOCK,1970-01-01,74517684186926,False,,2023-05-09
27,SH.601949,100,中国出版,,,STOCK,2017-08-21,74633648304541,False,,2023-05-09
28,SH.603018,100,华设集团,,,STOCK,2014-10-13,70244191729098,False,,2023-05-09
29,SH.603918,100,金桥信息,,,STOCK,2015-05-28,71219149306190,False,,2023-05-09
30,SZ.000526,100,学大教育,,,STOCK,1993-11-01,37383397344910,False,,2023-05-08
31,SZ.002401,100,中远海科,,,STOCK,2010-05-06,63282050141665,False,,2023-05-08
32,SZ.002777,100,久远银海,,,STOCK,2015-12-31,2002777,False,,2023-05-08
33,SH.600072,100,中船科技,,,STOCK,1997-06-03,43009804102216,False,,2023-05-08
34,SH.600636,100,国新文化,,,STOCK,1993-03-16,36395554466940,False,,2023-05-08
35,SH.600686,100,金龙汽车,,,STOCK,1993-11-08,37413461716142,False,,2023-05-08
36,SH.600757,100,长江传媒,,,STOCK,1996-10-03,41966127049973,False,,2023-05-08
37,SH.601326,100,秦港股份,,,STOCK,1970-01-01,74517684186926,False,,2023-05-08
38,SH.601949,100,中国出版,,,STOCK,2017-08-21,74633648304541,False,,2023-05-08
39,SH.603018,100,华设集团,,,STOCK,2014-10-13,70244191729098,False,,2023-05-08
40,SH.603357,100,设计总院,,,STOCK,2017-08-01,74552043927325,False,,2023-05-08
41,SH.603918,100,金桥信息,,,STOCK,2015-05-28,71219149306190,False,,2023-05-08
42,SZ.002292,100,奥飞娱乐,,,STOCK,2009-09-10,62259847925108,False,,2023-05-08
43,SZ.002315,100,焦点科技,,,STOCK,2009-12-09,62646394981771,False,,2023-05-08
44,SZ.002423,100,中粮资本,,,STOCK,2010-06-03,63402309225975,False,,2023-05-08
45,SH.600748,100,上实发展,,,STOCK,1996-09-25,41931767311596,False,,2023-05-08
46,SH.601333,100,广深铁路,,,STOCK,2006-12-22,57994944999221,False,,2023-05-08
47,SH.601801,100,皖新传媒,,,STOCK,2010-01-18,62818193273097,False,,2023-05-08
