,code,plate_code,plate_name,plate_type,day
0,SH.600088,SH.BK0441,超高清视频,CONCEPT,2023-05-10
1,SH.600088,SH.BK0494,文化传媒概念,CONCEPT,2023-05-10
2,SH.600088,SH.BK0650,广电系,CONCEPT,2023-05-10
3,SH.600088,SH.BK0651,影视传媒,CONCEPT,2023-05-10
4,SH.600088,SH.BK0673,旅游概念,CONCEPT,2023-05-10
5,SH.600088,SH.BK0963,影视院线,INDUSTRY,2023-05-10
6,SH.600636,SH.BK0441,超高清视频,CONCEPT,2023-05-10
7,SH.600636,SH.BK0466,在线教育,CONCEPT,2023-05-10
8,SH.600636,SH.BK0481,职业教育,CONCEPT,2023-05-10
9,SH.600636,SH.BK0535,人工智能,CONCEPT,2023-05-10
10,SH.600636,SH.BK0543,股权转让,CONCEPT,2023-05-10
11,SH.600636,SH.BK0947,教育,INDUSTRY,2023-05-10
12,SH.600928,SH.BK0708,银行概念,CONCEPT,2023-05-10
13,SH.600928,SH.BK0950,城商行Ⅱ,INDUSTRY,2023-05-10
14,SH.601061,SH.BK0040,贸易Ⅱ,INDUSTRY,2023-05-10
15,SH.601061,SH.BK0349,中字头,CONCEPT,2023-05-10
16,SH.601061,SH.BK0685,有色金属概念,CONCEPT,2023-05-10
17,SH.601598,SH.BK0004,物流,INDUSTRY,2023-05-10
18,SH.601598,SH.BK0330,冷链物流,CONCEPT,2023-05-10
19,SH.601598,SH.BK0349,中字头,CONCEPT,2023-05-10
20,SH.601598,SH.BK0399,跨境电商概念,CONCEPT,2023-05-10
21,SH.601598,SH.BK0416,快递物流,CONCEPT,2023-05-10
22,SH.601598,SH.BK0440,MSCI概念,CONCEPT,2023-05-10
23,SH.601598,SH.BK0459,进口博览会,CONCEPT,2023-05-10
24,SH.601598,SH.BK0468,一带一路,CONCEPT,2023-05-10
25,SH.601598,SH.BK0552,AH股,CONCEPT,2023-05-10
26,SH.601598,SH.BK0677,航运概念,CONCEPT,2023-05-10
27,SH.603357,SH.BK0429,智慧城市,CONCEPT,2023-05-10
28,SH.603357,SH.BK0468,一带一路,CONCEPT,2023-05-10
29,SH.603357,SH.BK0499,水利建设,CONCEPT,2023-05-10
30,SH.603357,SH.BK0537,养老金持股,CONCEPT,2023-05-10
31,SH.603357,SH.BK0571,智能交通,CONCEPT,2023-05-10
32,SH.603357,SH.BK0646,基建,CONCEPT,2023-05-10
33,SH.603357,SH.BK0952,工程咨询服务Ⅱ,INDUSTRY,2023-05-10
68,SH.600088,SH.BK0441,超高清视频,CONCEPT,2023-05-09
69,SH.600088,SH.BK0494,文化传媒概念,CONCEPT,2023-05-09
70,SH.600088,SH.BK0650,广电系,CONCEPT,2023-05-09
71,SH.600088,SH.BK0651,影视传媒,CONCEPT,2023-05-09
72,SH.600088,SH.BK0673,旅游概念,CONCEPT,2023-05-09
73,SH.600088,SH.BK0963,影视院线,INDUSTRY,2023-05-09
74,SH.600636,SH.BK0441,超高清视频,CONCEPT,2023-05-09
75,SH.600636,SH.BK0466,在线教育,CONCEPT,2023-05-09
76,SH.600636,SH.BK0481,职业教育,CONCEPT,2023-05-09
